JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457581.72483,16.823,0.047,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.13,Z,17.064,17.938,,V2492 CYG,AAVSO,STD,7,,,
2457581.72945,14.050,0.011,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.12,Z,17.291,17.824,,V2492 CYG,AAVSO,STD,7,,,
2457584.76380,16.536,0.042,,V,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCCOPE MAYHILL NM|VMAGINS=-3.807|VERR=0.020|CREFMAG=14.388|CREFERR=0.037|KREFMAG=12.647|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VI=-0.0190|TV_VIERR=0.0250|TAVER=2.47,1,1.115,Z,-5.983,-7.733,,V2492 CYG,AAVSO,STD,101,,,
2457584.76698,13.795,0.054,,I,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCCOPE MAYHILL NM|VMAGINS=-5.316|VERR=0.009|CREFMAG=13.106|CREFERR=0.043|KREFMAG=12.006|KREFERR=0.032|VX=0.0000|CX=0.0000|KX=0.0000|TVI=1.0010|TVIERR=0.0180|TAVER=2.47,1,1.106,Z,-6.034,-7.147,,V2492 CYG,AAVSO,STD,101,,,
2457584.77014,15.240,0.027,,R,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCCOPE MAYHILL NM|VMAGINS=-5.208|VERR=0.010|CREFMAG=13.761|CREFERR=0.040|KREFMAG=12.338|KREFERR=0.028|VX=0.0000|CX=0.0000|KX=0.0000|TR_VI=-0.0590|TR_VIERR=0.0170|TAVER=2.47,1,1.100,Z,-6.773,-8.227,,V2492 CYG,AAVSO,STD,101,,,
2457587.72901,16.316,0.040,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.08,Z,16.754,17.643,,V2492 CYG,AAVSO,STD,8,,,
2457587.73363,13.558,0.008,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.07,Z,16.990,17.525,,V2492 CYG,AAVSO,STD,8,,,
2457587.84085,16.241,0.036,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,0,1.03,Z,16.739,17.619,,V2492 CYG,AAVSO,STD,,,,
2457589.69293,16.476,0.071,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.16,Z,16.810,17.674,,V2492 CYG,AAVSO,STD,9,,,
2457589.69754,13.661,0.012,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.14,Z,17.013,17.537,,V2492 CYG,AAVSO,STD,9,,,
2457590.68406,16.393,0.060,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.18,Z,16.825,17.710,,V2492 CYG,AAVSO,STD,10,,,
